size,gurobi_distance,gurobi_time,gurobi_gap,ortools_distance,ortools_time,sa_distance,sa_time
5,946.3626501625379,0.005998373031616211,0.0,946.3626501625379,0.010998249053955078,946.3626501625379,0.38199901580810547
10,1946.1909884734255,0.021998167037963867,0.0,1946.1909884734253,0.11499595642089844,1946.190988473425,0.5012490749359131
15,2175.781504970606,0.06061863899230957,0.0,2175.781504970606,0.912635326385498,2175.7815049706055,0.5840022563934326
20,2435.873175028283,0.22999787330627441,0.0,2435.8731750282836,3.3706798553466797,2445.771595470809,0.690995454788208
25,2676.1866023505845,0.5249965190887451,0.0,2676.186602350585,13.769263982772827,2744.792835945914,0.8030083179473877
30,2795.6207218307777,0.4179983139038086,0.0,2795.620721830778,19.654495239257812,2853.651924610218,0.8882529735565186
35,2949.3197879480053,0.7599987983703613,0.0,2949.319787948006,48.74003553390503,3015.665524234803,0.9862091541290283
40,3080.6405061970136,0.9859979152679443,0.0,3080.6405061970136,20.23525333404541,3236.8453924925575,1.1110010147094727
