size,gurobi_distance,gurobi_time,gurobi_gap,ortools_distance,ortools_time,sa_distance,sa_time
5,945.6641217555645,0.004999399185180664,0.0,945.6641217555645,0.009999752044677734,945.6641217555645,0.368999719619751
10,1922.3080768449377,0.018999814987182617,0.0,1922.3080768449377,0.10200047492980957,1922.3080768449374,0.48199987411499023
15,2164.175581713186,0.06800150871276855,0.0,2164.1755817131866,1.293738603591919,2164.175581713186,0.5790021419525146
20,2429.0385088371063,0.1719985008239746,0.0,2429.0385088371067,3.4023704528808594,2431.5856559812523,0.7069988250732422
25,2661.7538343252086,0.2780008316040039,0.0,2661.7538343252095,14.318074226379395,2690.75997205198,0.7840118408203125
30,2779.576083143248,0.3410003185272217,0.0,2779.5760831432485,14.899295091629028,2833.8032257161967,0.9057116508483887
35,2926.034261786261,0.8770115375518799,0.0,2926.0342617862607,68.2750358581543,3032.662272674276,1.0197029113769531
40,3058.5097465106305,0.8224740028381348,0.0,3058.509746510631,137.68795466423035,3258.7756385437415,1.0875334739685059
