size,gurobi_distance,gurobi_time,gurobi_gap,ortools_distance,ortools_time,sa_distance,sa_time
5,949.0524150881265,0.006000518798828125,0.0,949.0524150881265,0.009999752044677734,949.0524150881264,0.3709983825683594
10,1917.9463112243795,0.016999483108520508,0.0,1917.9463112243798,0.0800011157989502,1917.9463112243793,0.48990440368652344
15,2157.880358271453,0.04258298873901367,0.0,2157.880358271453,0.9809980392456055,2157.8803582714527,0.5819985866546631
20,2416.1456730883883,0.22600126266479492,0.0,2416.1456730883883,3.4240920543670654,2416.145673088388,0.6870014667510986
25,2662.20123533853,0.24900078773498535,0.0,2662.2012353385303,4.42853307723999,2795.8901506117963,0.7921450138092041
30,2782.296230824118,0.4999992847442627,0.0,2782.296230824118,10.48686671257019,2897.018231205599,0.8739979267120361
35,2927.667045875475,0.41867756843566895,0.0,2927.6670458754747,93.66502046585083,3106.5621938439895,1.0200984477996826
40,3063.0084709191387,1.2898576259613037,0.0,3063.0084709191383,47.38644623756409,3285.2021883431457,1.083362340927124
